Month,RowID,Response ID,"Overall, how satisfied are you with your experience living on campus at SDSU in the last 30 days?",Please explain why you are not satisfied with your experience living on campus at SDSU:,Front Desk,Wepa Printing Kiosk,Laundry Facilities,"Outdoor Recreation Facilities (pool, patio, fire pit, etc.)",The UPS Store,Streeme TV or Cable,WiFi,Residential Bike Storage and Bike Racks,Surfboard Storage,Community Study Areas,Community Kitchens,Vending Machines,Have you utilized a STAR Center in the last 30 days?,Please explain why you are not using the Star Center:,"Cleanliness of your residential community common areas (bathrooms, laundry rooms, hallways, lounges)","Maintenance of your residential community (furniture, utilities, appliances)","Amenities of your residential community (i.e., wifi, lounges, furniture, laundry, outdoor recreational spaces)","Please explain why you are unsatisfied with the Cleanliness, Maintenance, or Amenities of your residential community:",Within your residential community,Overall on campus,"Off campus, but within 1 mile of the university",Please tell us how the safety conditions on campus can be improved:,Have you submitted a service request in the last 30 days?,Please select the reason for why you have not submitted a service request in the last 30 days: - Selected Choice,"Other, please specify Text for why you have not submitted a service request in the last 30 days","To what degree do you agree or disagree with the following statement? I consider the responsibility of keeping the communal areas (bathrooms, laundry rooms, hallways, lounge) tidy as a shared responsibility amongst residents.",How many total people live in your suite or apartment unit?,"In the last 30 days, how would you describe your relationship with your roommate(s)? - Selected Choice","Other, please specify Text for how would you describe your relationship with your roommate(s) in last 30 days?",I initiate open communication and discussion,I seek advice from my parents or family,I use the Shared Living Agreement to guide discussion/conversation,I seek assistance from my student leader (RA or CA),I seek assistance from my residence hall coordinator (RHC),I have submitted a room switch request due to a roommate conflict,"I avoid conflict or confrontation, so I don't address the issue.",My roommate(s) and I do not have any conflicts,"You have indicated you have not reached out for support from your Residence Hall Coordinator (RHC) or student leader (RA or CA), please tell us why:","Feeling a sense of belonging within the university community (Sense of belonging is the feeling that we have satisfied our emotional need to belong to a community or group because we feel accepted, included, respected, and supported by a group)",Forming meaningful connections and friendships with other students within the university community,Feeling the university supports my personal and academic development,How can we improve your sense of belonging within the university community?,Attended a floor event or program,Participated in Hall/Community Council or an RHA event,Participated in an affinity group event,Why didn't you participate in activities or events in your residential community?,Attended a campus event,Participated in a campus club or organization,Participated in Greek life,Participated in undergraduate research,Participated in an internship on campus,Participated in an internship off campus,Worked a job on campus,Worked a job off campus,Participated in a religious or spiritual group,Participated in a volunteer or community service organization,Other for have you participated in the following extracurricular activities or events In the last 30 days?,"Other, please specify te for have you participated in the following extracurricular activities or events In the last 30 days?",Fellow students in my residential community,Student leaders (RA or CA),Residence Hall Coordinator (RHC),Coordinated Care Advisor (CCA),One-on-one meetings with professors or instructors,Major or program advisor,Classmates or fellow students in my program or courses,"Campus staff (administrative, support, or service staff)","Eat at an on campus eatery (Food trucks, restaurants, food court)",Prepared a meal on my own,Eat with friends,Eat alone,how confident are you that you can make healthy food choices?,"how confident are you in preparing a nutritious, healthy meal for yourself?","Have you reached out to Well-being & Health Promotion for nutritional resources? If not, why not?",How would you rate your mental health during the last 30 days?,"Have you reached out to SDSU Counseling and Psychological Services for mental health resources? If not, why not?",How would you rate your physical health during the last 30 days?,"Have you reached out to Student Health Services for physical health resources? If not, why not?","In the last 30 days, have you been physically ill (e.g., flu, cold, etc.)?",Did you receive a medical diagnosis for your illness?,Hall,State,Country,Residency,RLC_Updated,RLC_GroupCoded,Coded_RoomType,Coded_ClassLevel,Classification,Gender,Type of Building,AttendStatus
October,539,R_1rGpwCH3OTgaxfZ,Unsatisfied,When finally my legal right to accommodations within due time was fulfilled I was put into a space that had a water leak from the day I moved in resulting in tiring dealings with construction people who removed part of my wall and ceiling.  When I know there were actual livable spaces available as evident from the temporary space I was put in.,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Agorophobia,Unsatisfied,Unsatisfied,Neutral,"I moved into a space with rust in every corner, disgusting old carpets, the outside landscaping such as plants and stuff are dying and covered in moss, theres bugs and cobwebs everywhere, oh and yeah my ceiling had to be removed because you decided to put me in the oldest unit full of orange rusty water staining the walls",Safe,Neutral,Unsafe,"Not much you can do to stop people from being cruel, but self defense programs run by the CA's/RA's would be useful, plus access to self defense items such as pepper spray.",Yes,Did not answer,Did not answer,Agree,"1, only me",Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Disagree,Disagree,Disagree,"The attitude around disability needs to change.  SDSU doesn't really care, they just want to be held in high esteem so they put on a front and then every single accommodation has a bunch of walls for you to jump over with no advocate because sometimes the disability itself hinders the ability to go through the process of getting accommodations.",No,Yes,Yes,Agorophobia,No,Yes,Did not answer,No,No,No,No,No,No,No,Not Applicable,Did not answer,No,Yes,Yes,No,Yes,No,Yes,Yes,More than 10 Times,6-10 Times,1-5 Times,More than 10 Times,1,1,Yes,Very Poor,No I got my own team,Very Poor,"Yes but not for the reasons why I feel sick, I should do that, again disabilities make reaching out to resources difficult and there should be student advocates to help us",Unsure,Did not answer,Piedra del Sol,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,415,R_1n1NRhalotTvkzG,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,The star center doesn‚t know organic chemistry.,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"1, only me",Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Agree,Agree,Neutral,Did not answer,Yes,No,No,I am an RA and busy planning my own events.,Yes,Yes,No,No,No,No,Yes,No,No,Yes,Did not answer,Did not answer,Yes,Yes,Yes,No,No,Yes,Yes,Yes,More than 10 Times,1-5 Times,More than 10 Times,6-10 Times,4,4,Did not answer,Poor,"No, I'm too busy as an RA.",Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Huaxyacac,NE,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Student Leader/Staff,Sophomore,Returning,F,First Year,ATTENDING
October,676,R_Z4S2uzS4ZxWanMl,Satisfied,Did not answer,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,haven't been to it yet,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,Unsure,Did not answer,Did not answer,Agree,"More than 5, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,No,No,No,No time,No,No,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,No,No,Yes,Yes,Yes,Yes,No,More than 10 Times,More than 10 Times,More than 10 Times,More than 10 Times,4,3,Did not answer,Good,Did not answer,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Tacuba,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Freshman,Returning,M,Sophomore and Upper Div,ATTENDING
October,717,R_3HjlQek7ZxjmC0Z,Satisfied,Did not answer,Yes,No,Yes,Yes,Yes,Not Applicable,Yes,No,No,Yes,Yes,Yes,Yes,Did not answer,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,Yes,Did not answer,No,No,Yes,No,No,No,No,No,No,No,Did not answer,Did not answer,No,Yes,No,Yes,No,No,No,No,1-5 Times,6-10 Times,More than 10 Times,1-5 Times,5,5,Did not answer,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Viva,AZ,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,M,Sophomore and Upper Div,ATTENDING
October,760,R_1HNOe6ruRmDiUy5,Neutral,Did not answer,No,Not Applicable,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,"I probably should know what the Star Center is, but I have no idea.",Satisfied,Unsatisfied,Neutral,"I am satisfied with the cleanliness but the maintenance is where I am unsatisfied. My kitchen table collapsed very quickly and even after repairing it, it is still very wobbly and will likely collapse again. My air conditioner was leaking and when we finally got someone to fix it, after they left it began leaking 10x worse. The front desk ended up giving us a bucket until somebody else could come fix it which took a few days.",Neutral,Neutral,Neutral,Did not answer,Unsure,Did not answer,Did not answer,Agree,"More than 5, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Agree,I haven't needed to!,Disagree,Disagree,Neutral,It is mainly my own fault. I am very busy with both school and work and don't have the time or motivation to improve my sense of belonging with the university community.,No,No,No,I don't have time and even if I did I would be nervous to go to an event by myself.,No,No,No,No,No,No,Yes,No,No,No,Did not answer,Did not answer,Yes,Yes,No,No,Yes,No,Yes,No,1-5 Times,More than 10 Times,1-5 Times,More than 10 Times,3,3,Did not answer,Very Poor,I have my own therapist and I continue to meet with her online because I feel that would be easiest.,Poor,I haven't reached out because I feel I don't need to. My main issue involves eating enough and that is something I should resolve on my own or with the help of a mental health professional.,"Yes, I got ill while living on campus in the last 30 days.",No,Granada,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,92,R_31MGdNzlHBHIqUO,Neutral,Did not answer,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Because it is not close to villa alvarado,Satisfied,Neutral,Neutral,Did not answer,Safe,Neutral,Unsafe,More lights near villa alvarado. The housing should all be near each other not that far from campus,No,I did not have any maintenance needs.,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,Because no problems rose to the point where an CA was needed,Agree,Agree,Neutral,Did not answer,Yes,No,Yes,Timing did not match my schedule,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Did not answer,Did not answer,Yes,Yes,No,Yes,No,No,Yes,Yes,More than 10 Times,6-10 Times,More than 10 Times,More than 10 Times,4,2,I did not know that existed for support purposes,Good,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",Yes,Villa Alvarado,CA,United States of America,Foreign,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,603,R_1jVu0v79AgAEij7,Satisfied,Did not answer,No,No,Not Applicable,No,Yes,No,Yes,No,No,No,Not Applicable,No,No,I forget that we have one and you have to go up to the 4th floor to get to it.,Neutral,Satisfied,Neutral,Did not answer,Safe,Safe,Neutral,Did not answer,Yes,Did not answer,Did not answer,Neither agree nor disagree,"More than 5, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,I don't have conflicts that serious so that‚s unnecessary.,Agree,Agree,Agree,Did not answer,No,No,No,"I don't have the time, I‚d have class or other events going on.",Yes,Yes,No,No,No,No,No,No,Yes,No,Did not answer,Did not answer,No,No,No,No,No,Yes,Yes,No,1-5 Times,More than 10 Times,1-5 Times,More than 10 Times,4,4,Did not answer,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Granada,OR,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Double,Senior,Returning,F,Sophomore and Upper Div,ATTENDING
October,748,R_VJDEw7rB4qc6AO5,Satisfied,Did not answer,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,I haven't had time,Satisfied,Satisfied,Neutral,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,No,Did not answer,No,No,No,No,No,No,Yes,No,No,No,Did not answer,Did not answer,No,Yes,Yes,Yes,Yes,No,Yes,Yes,6-10 Times,More than 10 Times,6-10 Times,More than 10 Times,5,5,Did not answer,Good,Did not answer,Neutral,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Zacatepec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,131,R_1pWnHHd2msNHzg7,Satisfied,Did not answer,Not Applicable,Not Applicable,Yes,Not Applicable,Yes,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,I feel that I am doing well in all my classes and do not need extra help.,Satisfied,Satisfied,Neutral,Did not answer,Safe,Safe,Neutral,Did not answer,Unsure,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,My roommates and I are all good friends so conflicts do not commonly arise and I haven't felt the need to talk to my CA.,Agree,Agree,Agree,Did not answer,No,No,No,For the activities that I've seen posted around I have always had prior plans during that time.,No,Yes,No,No,No,No,Yes,No,No,No,Did not answer,Did not answer,Yes,No,Not Applicable,No,No,No,Yes,No,1-5 Times,More than 10 Times,More than 10 Times,6-10 Times,4,5,Did not answer,Good,Did not answer,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Aztec Corner,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Junior,Returning,M,Sophomore and Upper Div,ATTENDING
October,597,R_1i2nIBdLNZEuaKT,Neutral,Did not answer,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Not Applicable,No,No,Dont need it,Neutral,Unsatisfied,Unsatisfied,We have only a handful of washers and dryers which makes it impossible to do laundry when two driers are broke and one washer is broke. It took 6 weeks to get the drawers for our fridge put in and its tha wrong ones so they dont even work.,Safe,Safe,Safe,Did not answer,Yes,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,We never met our CA still and we are over a month in,Agree,Agree,Agree,Did not answer,No,No,No,During times when im at class or work,Yes,Yes,No,No,No,No,Yes,No,No,No,Did not answer,Did not answer,Yes,No,No,No,No,No,Yes,Yes,1-5 Times,More than 10 Times,More than 10 Times,More than 10 Times,5,4,Did not answer,Good,Did not answer,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Piedra del Sol,NV,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,M,Sophomore and Upper Div,ATTENDING
October,11,R_1r6sPqgKLP0kEQa,Satisfied,Did not answer,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,Yes,No,No,haven't felt the need,Satisfied,Satisfied,Satisfied,Did not answer,Safe,Safe,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,I haven't needed to,Agree,Agree,Agree,Did not answer,No,No,No,I am doing other things at the time of the meetings,No,No,No,No,No,No,Yes,No,No,No,No,Did not answer,Yes,Yes,No,No,No,No,Yes,No,More than 10 Times,6-10 Times,6-10 Times,More than 10 Times,4,5,Did not answer,Good,Did not answer,Good,Did not answer,Unsure,Did not answer,South Campus Plaza North,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,216,R_vwCzBw3AKGLQ1J7,Satisfied,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Did not answer,Satisfied,Satisfied,Satisfied,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Yes,Did not answer,Did not answer,Did not answer,"More than 5, including myself","Other, please specify",Did not answer,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Did not answer,Agree,Agree,Agree,Did not answer,Yes,Yes,Yes,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Did not answer,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0 Times,0 Times,0 Times,0 Times,5,5,Did not answer,Excellent,Did not answer,Excellent,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Tepeyac,WA,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,M,Sophomore and Upper Div,ATTENDING
October,187,R_3O1aLCnFw4tyC0K,Satisfied,Did not answer,Yes,Yes,Yes,No,Yes,No,Yes,No,Not Applicable,No,No,No,No,Have not found the need to yet,Satisfied,Neutral,Satisfied,Did not answer,Safe,Neutral,Neutral,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"2, including myself","Neutral, I don't interact with my roommates, but we can coexist in the same space.",Did not answer,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Neutral,Agree,Did not answer,Agree,Neutral,Neutral,Did not answer,No,Yes,No,Conflicting schedule,No,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,No,Yes,No,No,No,Yes,Yes,No,More than 10 Times,More than 10 Times,1-5 Times,More than 10 Times,4,3,Did not answer,Good,Did not answer,Excellent,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,South Campus Plaza South,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,M,First Year,ATTENDING
October,730,R_2ah6WaFZ373XS9D,Neutral,Did not answer,No,Not Applicable,No,Not Applicable,Yes,No,Yes,Yes,No,Not Applicable,Not Applicable,No,No,What is that?,Satisfied,Satisfied,Unsatisfied,The washing machines break down bc take my money,Unsafe,Neutral,Safe,There was a man in the alley behind my building jerking it,No,I did not have any maintenance needs.,Did not answer,Agree,"2, including myself","Unsatisfied, most of us don't get along well, and we usually are not able to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Did not answer,Agree,Agree,Disagree,I am failing a class and nobody on campus has tutoring for it and the professor is not helpful.,Not Applicable,Yes,Not Applicable,Did not answer,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Not Applicable,Did not answer,No,No,No,No,Yes,Yes,Yes,Yes,1-5 Times,More than 10 Times,1-5 Times,More than 10 Times,5,5,Did not answer,Poor,I go to therapy elsewhere,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Aztec Corner,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Senior,Returning,F,Sophomore and Upper Div,ATTENDING
October,326,R_3PcuLsahMMNMLK9,Satisfied,Did not answer,Did not answer,Not Applicable,Yes,Not Applicable,Yes,Not Applicable,Yes,No,No,Not Applicable,Not Applicable,No,No,I am not sure what that is.,Neutral,Neutral,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,Yes,Did not answer,Did not answer,Agree,"2, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,I have not reached out to an RHC/ CA.,Agree,Agree,Agree,Did not answer,Not Applicable,No,No,There were none.,Yes,Yes,No,Yes,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,Not Applicable,Not Applicable,Yes,No,Yes,Yes,0 Times,More than 10 Times,More than 10 Times,More than 10 Times,5,5,Did not answer,Good,Did not answer,Excellent,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Piedra del Sol,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,352,R_1iqeKlAnkZAw3Zw,Unsatisfied,I had a horrible experience last year when my roommate and I were placed in a triple with a random third who we did not get along with and made our living situation unbearable. This year I was forced to live on campus again after being able to get out of it and it is with 6 other random girls. We don't really get along and cleanliness has been an issue.,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,No,No,i don't need to/ don't know what it would do for me,Unsatisfied,Unsatisfied,Neutral,The cleanliness of my place besides my room is mainly untouched unless me or one other roommate cleans the space. the kitchen in the main room if typically dirty along with the washers and dryers,Safe,Unsafe,Unsafe,not sure because it is open to the public,No,I did not have any maintenance needs.,Did not answer,Agree,"More than 5, including myself","Neutral, I don't interact with my roommates, but we can coexist in the same space.",Did not answer,Disagree,Agree,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,I have talked to my RA for advice.,Disagree,Neutral,Disagree,Not applicable,Not Applicable,Not Applicable,Yes,Did not answer,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Not Applicable,Not Applicable,Did not answer,No,Yes,No,No,No,No,Yes,No,1-5 Times,6-10 Times,More than 10 Times,More than 10 Times,5,5,Did not answer,Poor,i have not because i don't want to. i want to transfer and don't like it here,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Tepeyac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Single,Freshman,Returning,F,Sophomore and Upper Div,NOT ENROLLED
October,759,R_WdQ7Z3XYmv4rLA5,Neutral,Did not answer,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,Yes,Yes,No,i don't know how it can help,Neutral,Neutral,Neutral,Did not answer,Safe,Safe,Safe,Did not answer,No,I did not have any maintenance needs.,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Did not answer,Neutral,Neutral,Agree,Did not answer,No,Yes,No,i did,Yes,Yes,No,Yes,No,No,No,No,Yes,No,Did not answer,Did not answer,Yes,Yes,No,Yes,No,Yes,Yes,Yes,6-10 Times,More than 10 Times,6-10 Times,More than 10 Times,2,2,"no, i don't know how to",Neutral,Did not answer,Good,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Zapotec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,M,Sophomore and Upper Div,ATTENDING
October,573,R_3O995jfWjJOFLaI,Neutral,Did not answer,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,I don't know what it is and I‚ve never heard anyone use it,Neutral,Unsatisfied,Neutral,We have put in a service request 2 weeks ago to fix our stove and no one has fixed it.,Safe,Neutral,Neutral,Did not answer,Yes,Did not answer,Did not answer,Disagree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,I don't need their help,Agree,Agree,Neutral,Did not answer,Yes,No,No,I don't know of any,No,Yes,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,No,No,No,No,Yes,Yes,Yes,0 Times,More than 10 Times,More than 10 Times,1-5 Times,5,5,Did not answer,Very Poor,I have my own psychological help,Poor,I have gone to other doctors,"Yes, I got ill while living on campus in the last 30 days.",Yes,Piedra del Sol,NJ,United States of America,Out of State,No Theme or Residential Learning/Living Community,No Learning Community,Single,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
October,537,R_vldpI92fbX46SnD,Satisfied,Did not answer,Yes,No,Yes,Not Applicable,Yes,No,Yes,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,The nearest isn't in my building,Satisfied,Neutral,Neutral,Did not answer,Safe,Neutral,Neutral,Did not answer,Yes,Did not answer,Did not answer,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,No specific reason to yet,Agree,Agree,Neutral,Did not answer,Yes,Yes,No,None interested me,Yes,Yes,No,No,No,No,No,No,No,No,No,Did not answer,Yes,Yes,No,No,Yes,Yes,Yes,Yes,1-5 Times,More than 10 Times,More than 10 Times,1-5 Times,5,5,Did not answer,Poor,I'm not sure if it would help or how available it is.,Good,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Aztec Corner,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,M,Sophomore and Upper Div,ATTENDING
October,578,R_vl4UCX1rW6idDVv,Neutral,Did not answer,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,I don't need tutoring,Neutral,Satisfied,Satisfied,Did not answer,Safe,Safe,Safe,Did not answer,No,"Other, please specify:",I didn't want to pay for it,Agree,"More than 5, including myself","Neutral, I don't interact with my roommates, but we can coexist in the same space.",Did not answer,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,I don't see the need to,Disagree,Disagree,Neutral,"More clubs that aren‚t tied to a major/organization, clubs that are for hobbies instead of for transcripts",No,No,Yes,"I don't have people to go with, and they weren‚t appealing to me past the food, also being alone in a room full of people who are with others makes me sad",Yes,No,No,No,No,No,No,No,No,No,Did not answer,Did not answer,Yes,Yes,No,Yes,No,No,Yes,No,More than 10 Times,0 Times,1-5 Times,More than 10 Times,3,4,Did not answer,Neutral,Did not answer,Neutral,Did not answer,"Yes, I got ill while living on campus in the last 30 days.",No,Tepeyac,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Triple,Junior,Returning,M,Sophomore and Upper Div,ATTENDING
October,199,R_bazY007eBRIh6iR,Neutral,Did not answer,No,Yes,Yes,No,Yes,Yes,Yes,No,Not Applicable,Not Applicable,Not Applicable,No,No,The one in my building is always closed when I see it .,Neutral,Unsatisfied,Unsatisfied,"My building is very old and there are gaps in the door-hold, which lets in bugs and even lizards into the apartment. The carpets are very old and dirty. All of the doors are very loud and creek when we open or close them. The is also only about 4 washers and dryers, so a lot of the time we have to wait a while to do laundry.",Neutral,Neutral,Neutral,Did not answer,No,"Other, please specify:",The things that need to be done are not small maintenance needs.,Agree,"4, including myself","Satisfied, most of us get along well and we usually work together to resolve conflicts.",Did not answer,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Neutral,We have not had the need to do that so far.,Neutral,Agree,Neutral,Did not answer,No,No,No,There hasn't been any where I was available,Yes,Yes,No,No,No,No,No,No,No,Yes,Did not answer,Did not answer,No,Yes,No,No,No,No,Yes,No,1-5 Times,More than 10 Times,6-10 Times,More than 10 Times,3,3,Did not answer,Neutral,Did not answer,Neutral,Did not answer,"No, I haven't gotten ill in the last 30 days.",Did not answer,Toltec,CA,United States of America,California Resident,No Theme or Residential Learning/Living Community,No Learning Community,Double,Sophomore,Returning,F,Sophomore and Upper Div,ATTENDING
